balancing_on,codneg,nomres,codcvm,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2014-04-10,NATU3,NATURA,19550,2014-03-17 18:18:45,2013-12-31,431.239,1584.598,1415.996,0.3394874544471761,17818.79548,19403.39348,0.07297671932796367,18
2014-04-10,DIRR3,DIRECIONAL,21350,2014-03-17 19:23:22,2013-12-31,155.298749,347.749,258.721,0.0893062437435474,1625.97790203,1973.72690203,0.13108247130537795,19
2014-04-10,LEVE3,METAL LEVE,8575,2014-03-14 17:55:09,2013-12-31,128.3085,267.391,311.362,0.1251782779520604,2947.2462450000003,3214.6372450000003,0.09685758493723916,20
2014-04-10,IGTA3,IGUATEMI,20494,2014-04-03 19:45:28,2013-12-31,176.611578,915.692,288.968,0.8215719030408504,3798.9150427800005,4714.6070427800005,0.06129206472096729,21
2014-04-10,SEER3,SER EDUCA,23221,2014-03-26 23:05:25,2013-12-31,125.213244,-193.735,137.378,0.3519354425515562,2404.0942848,2210.3592848,0.06215188677456587,22
2014-04-10,ARZZ3,AREZZO CO,22349,2014-03-19 08:00:46,2013-12-31,88.637,-87.273,148.49,0.2293716604761871,2418.90373,2331.63073,0.06368504158460805,23
2014-04-10,RENT3,LOCALIZA,19739,2014-03-21 08:28:52,2013-12-31,211.793,1332.799,652.067,0.1609435652187896,7061.178620000001,8393.977620000001,0.07768271843450542,24
2014-04-10,MYPK3,IOCHP-MAXION,11932,2014-02-26 18:20:28,2013-12-31,94.863,2111.254,453.559,0.0846331640475575,2056.62984,4167.88384,0.10882237063497431,25
2014-04-10,MAGG3,MAGNESITA SA,20842,2014-03-20 19:31:34,2013-12-31,290.677834,534.475,312.53,0.0591902687625901,1418.50782992,1952.9828299199999,0.16002700853893434,26
2014-04-10,CCRO3,CCR SA,18821,2014-03-12 18:32:08,2013-12-31,1765.5872,6995.933,2725.018,0.1817123035845432,30456.3792,37452.3122,0.07275967329995717,27
2014-04-10,TIMP3,TIM PART S/A,17639,2014-02-13 21:53:31,2013-12-31,2417.632647,-540.986,2438.873,0.1145364885175058,27029.13299346,26488.14699346,0.09207412661226037,28
2014-04-10,ODPV3,ODONTOPREV,20125,2014-03-10 15:36:04,2013-12-31,531.294792,-257.122,263.085,0.3974002700661432,4946.35451352,4689.23251352,0.05610406377620923,29
